Gender,Age,toxicity
other,12,0.0037853317335247
male,21,0.0007781994645483
other,17,0.0004478275950532
other,21,0.0005723684444092
other,12,0.0009597066091373
other,23,0.0054818266071379
other,12,0.0004447977698873
other,18,0.0028945766389369
male,24,0.0150129003450274
other,32,0.0018871129723265
other,25,0.003172842785716
female,18,0.0005034867208451
other,12,0.0004078803758602
male,22,0.0220120847225189
male,20,0.0004880152700934
female,20,0.000912410672754
other,19,0.0028132360894232
other,24,0.0026859741192311
other,20,0.0033423444256186
other,13,0.0007136480999179
other,23,0.0006362627609632
female,22,0.0008512289496138
male,40,0.0004331171221565
other,29,0.0013100696960464
other,12,0.0012037428095936
other,42,0.000532190722879
male,55,0.0007943143718875
other,18,0.0008775067399255
other,19,0.0005055806250311
other,17,0.000599471037276
female,21,0.0006323233828879
male,40,0.0006380401900969
other,12,0.0012696511112153
female,34,0.011740693822503
male,26,0.0010753353126347
male,21,0.0010935934260487
other,21,0.0031849762890487
male,32,0.0004873579600825
other,12,0.0019678091630339
other,20,0.0004595566715579
male,26,0.001112665166147
male,21,0.0004825023352168
other,16,0.0007221010164357
male,21,0.0007556753116659
other,22,0.0005023520207032
male,44,0.0004394008137751
other,17,0.0004613439086824
other,19,0.0008810019353404
male,44,0.0004209859471302
other,15,0.0010129788424819
male,52,0.0004473233129829
female,19,0.0009590252302587
other,19,0.0056758443824946
other,20,0.0004005885566584
male,34,0.0005957027897238
female,18,0.0067704785615205
other,15,0.0005767980474047
other,42,0.0005245328648015
other,19,0.0064266440458595
other,21,0.0023245909251272
other,12,0.0055926633067429
female,52,0.0005409597652032
male,23,0.0012242082739248
other,12,0.0051975990645587
male,24,0.0005775376921519
male,19,0.0004076623008586
other,20,0.0004378242883831
male,30,0.0007107215351425
female,21,0.0028973098378628
male,33,0.0005992516526021
other,19,0.0004402229678817
other,21,0.0006507724756374
other,18,0.002249242272228
male,26,0.0009397052926942
other,21,0.0011782404035329
female,21,0.0008252036641351
male,31,0.000895332370419
other,21,0.0003979032626375
other,22,0.0063428366556763
other,74,0.0016642229165881
other,24,0.0003975061117671
other,21,0.007324740756303
other,30,0.0005806642584502
male,26,0.0040337974205613
other,19,0.0047779991291463
male,24,0.000401339813834
male,26,0.0004303384048398
other,21,0.0007517851190641
other,19,0.0004619683604687
other,20,0.0005439967499114
male,26,0.0004448980907909
male,36,0.0004055459576193
other,12,0.0014033413026481
other,22,0.0033738084603101
female,38,0.0014679890591651
other,32,0.000586460402701
other,21,0.0009917151182889
other,18,0.0004636865342035
other,21,0.0008840333321131
male,44,0.0012552895350381
other,19,0.0010512812295928
female,21,0.000731513777282
male,23,0.0006543130148202
male,26,0.0005707066738978
other,22,0.00065280002309
other,19,0.0007103067473508
male,44,0.0004932682495564
male,12,0.0006395929958671
other,21,0.0011883162660524
female,36,0.0018494124524295
female,38,0.0005631283856928
other,25,0.0095038572326302
male,22,0.0008606984629295
male,21,0.0008965993183664
female,19,0.0007588869775645
other,19,0.0005763875669799
female,21,0.0005382759263738
other,12,0.0048396373167634
other,20,0.0015214963350445
female,22,0.0030293941963464
other,24,0.0132171241566538
male,69,0.0008153528324328
male,45,0.0097413007169961
other,17,0.000701205455698
male,44,0.0009169211261905
other,20,0.0023226023185998
male,21,0.0059395800344645
female,21,0.0005890266038477
male,44,0.0007021626806817
other,20,0.0009300324018113
other,35,0.0043528717942535
male,44,0.0006977474549785
other,21,0.0026938554365187
other,12,0.0058929538354277
other,22,0.0008206731290556
other,21,0.0005037819501012
other,25,0.0013729792553931
other,23,0.0013543184613808
female,21,0.0044557303190231
female,20,0.0012016223045066
other,12,0.0089378282427787
other,22,0.0034125889651477
other,18,0.0008428884320892
male,22,0.0005749851115979
other,22,0.0004266776086296
other,31,0.0005338984192349
other,18,0.0004151083703618
male,44,0.0008120810380205
female,21,0.0018552116816863
other,40,0.0004559711378533
other,12,0.000681570789311
male,24,0.0005014693597331
other,21,0.0006589074619114
other,30,0.0004047302936669
other,19,0.0013302952283993
other,20,0.0008777173934504
male,18,0.0030849296599626
other,17,0.0004275331739336
other,22,0.0006484279292635
other,19,0.0004162102995906
other,12,0.003477614140138
other,19,0.0071716648526489
male,63,0.0005214188131503
other,24,0.0004516060871537
male,21,0.0008697779267095
other,37,0.0228982884436845
other,20,0.000629118818324
other,19,0.0051271333359181
male,29,0.0007279449491761
male,26,0.0008567525073885
male,21,0.0004510725557338
other,12,0.000768685422372
female,12,0.000584400317166
other,16,0.000864214496687
other,52,0.0006258609937503
male,40,0.0006447315099649
male,23,0.0005634860135614
female,22,0.0003895617264788
male,24,0.0043550878763198
male,44,0.0006347697344608
other,22,0.0009516049758531
male,21,0.0006295641651377
male,44,0.0004919189959764
other,18,0.0058548431843519
other,17,0.0004155527858529
female,22,0.0005344004021026
male,40,0.0004210328916087
